Interval=	0,01 s
ExcelDateTime=	4,1975584149664355e+004	02.12.2014 14:01:10,531
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 2
Range=	20,000 mV
0,0	4,578
0,01	4,447
0,02	4,506
0,03	4,614
0,04	4,759
0,05	4,958
0,06	5,008
0,07	4,865
0,08	4,686
0,09	4,562
0,1	4,549
0,11	4,615
0,12	4,598
0,13	4,480
0,14	4,419
0,15	4,531
0,16	4,701
0,17	4,683
0,18	4,492
0,19	4,346
0,2	4,356
0,21	4,680
0,22	5,610
0,23	7,198
0,24	9,047
0,25	10,248
0,26	9,571
0,27	7,701
0,28	6,351
0,29	5,534
0,3	4,853
0,31	4,337
0,32	3,927
0,33	3,518
0,34	3,129
0,35	3,057
0,36	3,449
0,37	3,811
0,38	3,933
0,39	4,044
0,4	4,150
0,41	4,228
0,42	4,217
0,43	4,232
0,44	4,525
0,45	4,836
0,46	4,832
0,47	4,692
0,48	4,572
0,49	4,433
0,5	4,354
0,51	4,478
0,52	4,735
0,53	4,901
0,54	4,926
0,55	4,894
0,56	4,803
0,57	4,639
0,58	4,442
0,59	4,245
0,6	4,112
0,61	4,102
0,62	4,170
0,63	4,264
0,64	4,676
0,65	5,385
0,66	5,671
0,67	5,324
0,68	4,635
0,69	4,094
0,7	4,214
0,71	4,678
0,72	4,835
0,73	4,577
0,74	4,269
0,75	4,162
0,76	4,216
0,77	4,330
0,78	4,532
0,79	4,791
0,8	4,946
0,81	5,088
0,82	5,395
0,83	5,405
0,84	4,751
0,85	4,628
0,86	5,121
0,87	5,288
0,88	5,529
0,89	5,636
0,9	5,304
0,91	4,577
0,92	3,589
0,93	3,154
0,94	3,349
0,95	3,614
0,96	3,645
0,97	3,585
0,98	3,817
0,99	4,315
1,0	5,052
1,01	6,075
1,02	7,303
1,03	8,444
1,04	9,004
1,05	8,769
1,06	7,642
1,07	5,931
1,08	4,866
1,09	4,913
1,1	5,057
1,11	4,509
1,12	3,480
1,13	2,678
1,14	2,501
1,15	3,016
1,16	3,694
1,17	3,957
1,18	4,067
1,19	4,038
1,2	3,670
1,21	3,218
1,22	3,068
1,23	3,320
1,24	3,692
1,25	4,019
1,26	4,317
1,27	4,546
1,28	4,647
1,29	4,706
1,3	4,768
1,31	4,721
1,32	4,561
1,33	4,512
1,34	4,676
1,35	4,853
1,36	4,830
1,37	4,666
1,38	4,577
1,39	4,421
1,4	4,024
1,41	3,907
1,42	4,126
1,43	4,209
1,44	4,117
1,45	4,089
1,46	4,260
1,47	4,421
1,48	4,369
1,49	4,119
1,5	3,907
1,51	3,929
1,52	4,194
1,53	4,528
1,54	4,694
1,55	4,654
1,56	4,544
1,57	4,481
1,58	4,478
1,59	4,518
1,6	4,572
1,61	4,586
1,62	4,501
1,63	4,338
1,64	4,250
1,65	4,350
1,66	4,576
1,67	4,809
1,68	4,921
1,69	4,803
1,7	4,510
1,71	4,261
1,72	4,273
1,73	4,524
1,74	4,793
1,75	4,876
1,76	4,725
1,77	4,468
1,78	4,299
1,79	4,290
1,8	4,388
1,81	4,507
1,82	4,566
1,83	4,544
1,84	4,459
1,85	4,381
1,86	4,471
1,87	4,999
1,88	6,219
1,89	7,954
1,9	9,599
1,91	10,667
1,92	10,967
1,93	10,396
1,94	8,925
1,95	7,019
1,96	5,389
1,97	4,189
1,98	3,305
1,99	2,771
2,0	2,634
2,01	2,782
2,02	2,980
2,03	3,032
2,04	2,951
2,05	3,023
2,06	3,425
2,07	3,884
2,08	4,037
2,09	3,984
2,1	4,107
2,11	4,444
2,12	4,638
2,13	4,617
2,14	4,647
2,15	4,798
2,16	4,978
2,17	5,089
2,18	5,010
2,19	4,748
2,2	4,594
2,21	4,701
2,22	4,846
2,23	4,738
2,24	4,379
2,25	4,029
2,26	3,865
2,27	3,929
2,28	4,134
2,29	4,291
2,3	4,299
2,31	4,174
2,32	4,004
2,33	3,899
2,34	3,893
2,35	3,942
2,36	4,044
2,37	4,186
2,38	4,277
2,39	4,267
2,4	4,170
2,41	4,096
2,42	4,153
2,43	4,306
2,44	4,470
2,45	4,581
2,46	4,579
2,47	4,456
2,48	4,287
2,49	4,208
2,5	4,320
2,51	4,530
2,52	4,642
2,53	4,619
2,54	4,513
2,55	4,397
2,56	4,366
2,57	4,419
2,58	4,474
2,59	4,515
2,6	4,573
2,61	4,579
2,62	4,436
2,63	4,259
2,64	4,213
2,65	4,249
2,66	4,262
2,67	4,270
2,68	4,307
2,69	4,409
2,7	4,821
2,71	5,886
2,72	7,560
2,73	9,265
2,74	10,378
2,75	10,658
2,76	10,027
2,77	8,556
2,78	6,950
2,79	5,720
2,8	4,706
2,81	3,835
2,82	3,141
2,83	2,626
2,84	2,336
2,85	2,326
2,86	2,567
2,87	3,041
2,88	3,716
2,89	4,274
2,9	4,436
2,91	4,317
2,92	4,098
2,93	3,849
2,94	3,678
2,95	3,694
2,96	3,853
2,97	4,027
2,98	4,168
2,99	4,320
3,0	4,483
3,01	4,615
3,02	4,730
3,03	4,788
3,04	4,685
3,05	4,458
3,06	4,244
3,07	4,121
3,08	4,086
3,09	4,127
3,1	4,212
3,11	4,264
3,12	4,231
3,13	4,121
3,14	4,012
3,15	3,962
3,16	3,914
3,17	3,844
3,18	3,834
3,19	3,921
3,2	4,061
3,21	4,205
3,22	4,268
3,23	4,209
3,24	4,122
3,25	4,100
3,26	4,126
3,27	4,156
3,28	4,223
3,29	4,331
3,3	4,433
3,31	4,485
3,32	4,419
3,33	4,250
3,34	4,173
3,35	4,301
3,36	4,504
3,37	4,611
3,38	4,616
3,39	4,604
3,4	4,537
3,41	4,383
3,42	4,232
3,43	4,138
3,44	4,081
3,45	4,061
3,46	4,128
3,47	4,261
3,48	4,394
3,49	4,549
3,5	4,955
3,51	5,981
3,52	7,600
3,53	9,258
3,54	10,306
3,55	10,396
3,56	9,668
3,57	8,521
3,58	7,293
3,59	6,078
3,6	4,798
3,61	3,560
3,62	2,721
3,63	2,458
3,64	2,569
3,65	2,758
3,66	2,873
3,67	2,946
3,68	3,140
3,69	3,494
3,7	3,787
3,71	3,823
3,72	3,669
3,73	3,532
3,74	3,523
3,75	3,606
3,76	3,743
3,77	3,936
3,78	4,168
3,79	4,374
3,8	4,514
3,81	4,548
3,82	4,481
3,83	4,462
3,84	4,521
3,85	4,523
3,86	4,421
3,87	4,319
3,88	4,228
3,89	4,121
3,9	4,079
3,91	4,126
3,92	4,121
3,93	3,973
3,94	3,819
3,95	3,794
3,96	3,835
3,97	3,834
3,98	3,826
3,99	3,918
4,0	4,084
4,01	4,198
4,02	4,221
4,03	4,206
4,04	4,156
4,05	4,075
4,06	4,032
4,07	4,099
4,08	4,216
4,09	4,295
4,1	4,373
4,11	4,492
4,12	4,558
4,13	4,527
4,14	4,498
4,15	4,487
4,16	4,416
4,17	4,285
4,18	4,156
4,19	4,074
4,2	4,090
4,21	4,203
4,22	4,307
4,23	4,329
4,24	4,274
4,25	4,197
4,26	4,197
4,27	4,389
4,28	5,024
4,29	6,237
4,3	7,764
4,31	9,129
4,32	9,975
4,33	10,177
4,34	9,755
4,35	8,662
4,36	7,037
4,37	5,416
4,38	4,201
4,39	3,498
4,4	3,150
4,41	2,873
4,42	2,600
4,43	2,441
4,44	2,464
4,45	2,703
4,46	3,172
4,47	3,656
4,48	3,860
4,49	3,768
4,5	3,562
4,51	3,368
4,52	3,277
4,53	3,410
4,54	3,780
4,55	4,175
4,56	4,319
4,57	4,324
4,58	4,406
4,59	4,479
4,6	4,513
4,61	4,549
4,62	4,509
4,63	4,324
4,64	4,134
4,65	4,081
4,66	4,084
4,67	4,093
4,68	4,129
4,69	4,073
4,7	3,896
4,71	3,762
4,72	3,732
4,73	3,752
4,74	3,757
4,75	3,756
4,76	3,836
4,77	3,999
4,78	4,104
4,79	4,058
4,8	3,973
4,81	3,976
4,82	4,051
4,83	4,157
4,84	4,239
4,85	4,246
4,86	4,223
4,87	4,225
4,88	4,259
4,89	4,259
4,9	4,204
4,91	4,184
4,92	4,262
4,93	4,414
4,94	4,510
4,95	4,408
4,96	4,186
4,97	4,083
4,98	4,152
4,99	4,211
5,0	4,186
5,01	4,139
5,02	4,089
5,03	4,012
5,04	3,964
5,05	4,085
5,06	4,398
5,07	4,966
5,08	5,992
5,09	7,476
5,1	8,999
5,11	9,938
5,12	9,958
5,13	9,279
5,14	8,282
5,15	7,167
5,16	6,084
5,17	5,023
5,18	3,915
5,19	2,974
5,2	2,441
5,21	2,305
5,22	2,364
5,23	2,493
5,24	2,726
5,25	3,024
5,26	3,277
5,27	3,461
5,28	3,588
5,29	3,614
5,3	3,531
5,31	3,479
5,32	3,589
5,33	3,829
5,34	4,084
5,35	4,251
5,36	4,286
5,37	4,236
5,38	4,259
5,39	4,398
5,4	4,485
5,41	4,437
5,42	4,306
5,43	4,154
5,44	4,041
5,45	4,016
5,46	4,041
5,47	4,054
5,48	4,021
5,49	3,936
5,5	3,841
5,51	3,801
5,52	3,789
5,53	3,744
5,54	3,694
5,55	3,698
5,56	3,762
5,57	3,861
5,58	3,979
5,59	4,061
5,6	4,044
5,61	4,021
5,62	4,070
5,63	4,149
5,64	4,224
5,65	4,217
5,66	4,123
5,67	4,036
5,68	4,026
5,69	4,138
5,7	4,322
5,71	4,451
5,72	4,407
5,73	4,251
5,74	4,151
5,75	4,138
5,76	4,168
5,77	4,229
5,78	4,257
5,79	4,181
5,8	4,026
5,81	3,950
5,82	4,054
5,83	4,197
5,84	4,345
5,85	4,875
5,86	6,104
5,87	7,777
5,88	9,279
5,89	10,085
5,9	10,036
5,91	9,324
5,92	8,219
5,93	6,899
5,94	5,487
5,95	4,278
5,96	3,455
5,97	2,870
5,98	2,449
5,99	2,294
6,0	2,410
6,01	2,658
6,02	2,971
6,03	3,302
6,04	3,541
6,05	3,646
6,06	3,632
6,07	3,512
6,08	3,346
6,09	3,258
6,1	3,360
6,11	3,609
6,12	3,857
6,13	4,027
6,14	4,110
6,15	4,138
6,16	4,151
6,17	4,170
6,18	4,187
6,19	4,200
6,2	4,252
6,21	4,315
6,22	4,277
6,23	4,076
6,24	3,826
6,25	3,702
6,26	3,676
6,27	3,640
6,28	3,625
6,29	3,682
6,3	3,768
6,31	3,804
6,32	3,787
6,33	3,778
6,34	3,811
6,35	3,881
6,36	3,941
6,37	3,924
6,38	3,834
6,39	3,797
6,4	3,883
6,41	4,018
6,42	4,137
6,43	4,202
6,44	4,186
6,45	4,155
6,46	4,164
6,47	4,196
6,48	4,226
6,49	4,196
6,5	4,136
6,51	4,159
6,52	4,224
6,53	4,220
6,54	4,131
6,55	4,021
6,56	3,954
6,57	3,946
6,58	4,001
6,59	4,069
6,6	4,080
6,61	4,061
6,62	4,114
6,63	4,489
6,64	5,486
6,65	7,068
6,66	8,737
6,67	9,830
6,68	10,007
6,69	9,384
6,7	8,357
6,71	7,321
6,72	6,334
6,73	5,236
6,74	4,066
6,75	3,064
6,76	2,406
6,77	2,204
6,78	2,408
6,79	2,750
6,8	3,024
6,81	3,199
6,82	3,348
6,83	3,486
6,84	3,541
6,85	3,472
6,86	3,294
6,87	3,111
6,88	3,093
6,89	3,297
6,9	3,604
6,91	3,843
6,92	3,971
6,93	4,067
6,94	4,193
6,95	4,286
6,96	4,239
6,97	4,140
6,98	4,134
6,99	4,192
7,0	4,142
7,01	3,939
7,02	3,768
7,03	3,717
7,04	3,724
7,05	3,692
7,06	3,621
7,07	3,621
7,08	3,661
7,09	3,634
7,1	3,605
7,11	3,713
7,12	3,866
7,13	3,874
7,14	3,778
7,15	3,738
7,16	3,761
7,17	3,801
7,18	3,911
7,19	4,043
7,2	4,051
7,21	3,927
7,22	3,822
7,23	3,881
7,24	4,074
7,25	4,216
7,26	4,237
7,27	4,218
7,28	4,201
7,29	4,192
7,3	4,177
7,31	4,117
7,32	4,026
7,33	3,956
7,34	3,918
7,35	3,962
7,36	4,089
7,37	4,163
7,38	4,066
7,39	3,819
7,4	3,629
7,41	3,711
7,42	4,070
7,43	4,668
7,44	5,638
7,45	7,008
7,46	8,478
7,47	9,596
7,48	9,959
7,49	9,496
7,5	8,468
7,51	7,224
7,52	5,984
7,53	4,800
7,54	3,730
7,55	2,864
7,56	2,319
7,57	2,201
7,58	2,354
7,59	2,532
7,6	2,726
7,61	3,013
7,62	3,324
7,63	3,542
7,64	3,596
7,65	3,459
7,66	3,244
7,67	3,186
7,68	3,339
7,69	3,505
7,7	3,601
7,71	3,709
7,72	3,839
7,73	3,959
7,74	4,097
7,75	4,277
7,76	4,388
7,77	4,329
7,78	4,167
7,79	3,970
7,8	3,807
7,81	3,771
7,82	3,798
7,83	3,757
7,84	3,674
7,85	3,628
7,86	3,594
7,87	3,530
7,88	3,495
7,89	3,544
7,9	3,638
7,91	3,716
7,92	3,738
7,93	3,706
7,94	3,692
7,95	3,743
7,96	3,846
7,97	3,931
7,98	3,913
7,99	3,832
8,0	3,766
8,01	3,806
8,02	3,999
8,03	4,199
8,04	4,211
8,05	4,057
8,06	3,947
8,07	3,996
8,08	4,103
8,09	4,176
8,1	4,254
8,11	4,299
8,12	4,196
8,13	3,977
8,14	3,784
8,15	3,734
8,16	3,824
8,17	3,937
8,18	3,999
8,19	3,995
8,2	3,895
8,21	3,753
8,22	3,729
8,23	3,996
8,24	4,781
8,25	6,174
8,26	7,889
8,27	9,402
8,28	10,224
8,29	10,115
8,3	9,192
8,31	7,839
8,32	6,414
8,33	5,109
8,34	3,991
8,35	3,109
8,36	2,507
8,37	2,194
8,38	2,130
8,39	2,241
8,4	2,485
8,41	2,843
8,42	3,277
8,43	3,683
8,44	3,845
8,45	3,667
8,46	3,326
8,47	3,074
8,48	2,992
8,49	3,053
8,5	3,268
8,51	3,556
8,52	3,794
8,53	3,916
8,54	3,894
8,55	3,834
8,56	3,867
8,57	3,976
8,58	4,066
8,59	4,082
8,6	4,003
8,61	3,854
8,62	3,754
8,63	3,788
8,64	3,791
8,65	3,621
8,66	3,422
8,67	3,365
8,68	3,413
8,69	3,455
8,7	3,503
8,71	3,572
8,72	3,630
8,73	3,678
8,74	3,682
8,75	3,634
8,76	3,598
8,77	3,616
8,78	3,698
8,79	3,821
8,8	3,897
8,81	3,883
8,82	3,855
8,83	3,881
8,84	3,937
8,85	3,982
8,86	3,994
8,87	3,969
8,88	3,978
8,89	4,063
8,9	4,146
8,91	4,131
8,92	3,993
8,93	3,822
8,94	3,723
8,95	3,716
8,96	3,745
8,97	3,679
8,98	3,556
8,99	3,591
9,0	4,019
9,01	5,026
9,02	6,498
9,03	8,027
9,04	9,209
9,05	9,742
9,06	9,529
9,07	8,722
9,08	7,586
9,09	6,352
9,1	5,101
9,11	3,942
9,12	3,080
9,13	2,574
9,14	2,356
9,15	2,328
9,16	2,398
9,17	2,556
9,18	2,833
9,19	3,173
9,2	3,438
9,21	3,508
9,22	3,409
9,23	3,241
9,24	3,091
9,25	2,988
9,26	2,908
9,27	2,924
9,28	3,137
9,29	3,468
9,3	3,777
9,31	3,999
9,32	4,057
9,33	4,001
9,34	3,960
9,35	3,964
9,36	3,981
9,37	3,971
9,38	3,849
9,39	3,644
9,4	3,552
9,41	3,627
9,42	3,652
9,43	3,468
9,44	3,252
9,45	3,232
9,46	3,402
9,47	3,586
9,48	3,667
9,49	3,633
9,5	3,498
9,51	3,414
9,52	3,515
9,53	3,691
9,54	3,800
9,55	3,805
9,56	3,766
9,57	3,753
9,58	3,786
9,59	3,861
9,6	3,943
9,61	3,973
9,62	3,953
9,63	3,997
9,64	4,032
9,65	3,941
9,66	3,829
9,67	3,807
9,68	3,885
9,69	3,982
9,7	3,980
9,71	3,862
9,72	3,724
9,73	3,661
9,74	3,700
9,75	3,814
9,76	3,852
9,77	3,746
9,78	3,641
9,79	3,653
9,8	3,883
9,81	4,472
9,82	5,544
9,83	6,994
9,84	8,424
9,85	9,428
9,86	9,722
9,87	9,202
9,88	8,072
9,89	6,722
9,9	5,427
9,91	4,324
9,92	3,441
9,93	2,700
9,94	2,131
9,95	1,918
9,96	2,053
9,97	2,303
9,98	2,549
9,99	2,826
10,0	3,086
10,01	3,268
10,02	3,373
10,03	3,356
10,04	3,216
10,05	3,059
10,06	3,029
10,07	3,169
10,08	3,449
10,09	3,777
10,1	3,960
10,11	3,953
10,12	3,883
10,13	3,861
10,14	3,939
10,15	4,047
10,16	4,058
10,17	3,966
10,18	3,859
10,19	3,759
10,2	3,636
10,21	3,481
10,22	3,311
10,23	3,223
10,24	3,289
10,25	3,469
10,26	3,618
10,27	3,596
10,28	3,474
10,29	3,436
10,3	3,526
10,31	3,641
10,32	3,651
10,33	3,618
10,34	3,659
10,35	3,732
10,36	3,801
10,37	3,857
10,38	3,886
10,39	3,876
10,4	3,841
10,41	3,837
10,42	3,914
10,43	3,996
10,44	3,966
10,45	3,878
10,46	3,823
10,47	3,859
10,48	3,946
10,49	3,995
10,5	3,979
10,51	3,845
10,52	3,657
10,53	3,609
10,54	3,686
10,55	3,685
10,56	3,579
10,57	3,530
10,58	3,642
10,59	3,937
10,6	4,579
10,61	5,767
10,62	7,286
10,63	8,659
10,64	9,479
10,65	9,512
10,66	8,858
10,67	7,812
10,68	6,586
10,69	5,306
10,7	4,087
10,71	3,052
10,72	2,313
10,73	1,919
10,74	1,816
10,75	1,937
10,76	2,243
10,77	2,605
10,78	2,871
10,79	3,043
10,8	3,190
10,81	3,297
10,82	3,269
10,83	3,180
10,84	3,188
10,85	3,273
10,86	3,350
10,87	3,434
10,88	3,587
10,89	3,760
10,9	3,856
10,91	3,858
10,92	3,802
10,93	3,773
10,94	3,840
10,95	3,938
10,96	3,904
10,97	3,738
10,98	3,593
10,99	3,524
11,0	3,519
11,01	3,492
11,02	3,363
11,03	3,266
11,04	3,349
11,05	3,465
11,06	3,454
11,07	3,399
11,08	3,392
11,09	3,444
11,1	3,536
11,11	3,640
11,12	3,709
11,13	3,723
11,14	3,726
11,15	3,756
11,16	3,785
11,17	3,736
11,18	3,691
11,19	3,786
11,2	3,954
11,21	4,019
11,22	3,924
11,23	3,797
11,24	3,749
11,25	3,796
11,26	3,846
11,27	3,793
11,28	3,669
11,29	3,554
11,3	3,509
11,31	3,527
11,32	3,627
11,33	3,961
11,34	4,789
11,35	6,201
11,36	7,789
11,37	8,906
11,38	9,266
11,39	8,991
11,4	8,277
11,41	7,291
11,42	6,112
11,43	4,869
11,44	3,751
11,45	2,848
11,46	2,255
11,47	1,972
11,48	1,933
11,49	2,124
11,5	2,466
11,51	2,773
11,52	2,962
11,53	3,127
11,54	3,274
11,55	3,295
11,56	3,180
11,57	3,051
11,58	3,006
11,59	3,014
11,6	3,064
11,61	3,192
11,62	3,414
11,63	3,667
11,64	3,804
11,65	3,814
11,66	3,781
11,67	3,777
11,68	3,804
11,69	3,791
11,7	3,737
11,71	3,648
11,72	3,519
11,73	3,397
11,74	3,373
11,75	3,443
11,76	3,419
11,77	3,268
11,78	3,183
11,79	3,292
11,8	3,496
11,81	3,580
11,82	3,517
11,83	3,433
11,84	3,415
11,85	3,511
11,86	3,706
11,87	3,840
11,88	3,776
11,89	3,619
11,9	3,556
11,91	3,625
11,92	3,749
11,93	3,849
11,94	3,887
11,95	3,850
11,96	3,806
11,97	3,796
11,98	3,701
11,99	3,526
12,0	3,450
12,01	3,536
12,02	3,683
12,03	3,780
12,04	3,756
12,05	3,597
12,06	3,488
12,07	3,726
12,08	4,515
12,09	5,833
12,1	7,362
12,11	8,638
12,12	9,311
12,13	9,190
12,14	8,373
12,15	7,231
12,16	6,053
12,17	4,931
12,18	3,903
12,19	3,055
12,2	2,469
12,21	2,129
12,22	1,973
12,23	1,993
12,24	2,184
12,25	2,489
12,26	2,872
12,27	3,229
12,28	3,373
12,29	3,292
12,3	3,093
12,31	2,855
12,32	2,732
12,33	2,806
12,34	2,998
12,35	3,216
12,36	3,446
12,37	3,686
12,38	3,922
12,39	4,116
12,4	4,123
12,41	3,917
12,42	3,678
12,43	3,560
12,44	3,526
12,45	3,493
12,46	3,478
12,47	3,460
12,48	3,433
12,49	3,389
12,5	3,301
12,51	3,208
12,52	3,167
12,53	3,177
12,54	3,183
12,55	3,219
12,56	3,334
12,57	3,465
12,58	3,573
12,59	3,675
12,6	3,694
12,61	3,609
12,62	3,564
12,63	3,639
12,64	3,784
12,65	3,866
12,66	3,806
12,67	3,713
12,68	3,698
12,69	3,684
