Interval=	0,01 s
ExcelDateTime=	4,1975582292743056e+004	02.12.2014 13:58:30,093
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
0,0	-8,177
0,01	-7,961
0,02	-7,773
0,03	-7,606
0,04	-7,451
0,05	-7,301
0,06	-7,151
0,07	-6,987
0,08	-6,813
0,09	-6,649
0,1	-6,495
0,11	-6,345
0,12	-6,192
0,13	-6,033
0,14	-5,906
0,15	-5,841
0,16	-5,871
0,17	-5,989
0,18	-6,029
0,19	-5,863
0,2	-5,553
0,21	-5,221
0,22	-4,944
0,23	-4,758
0,24	-4,706
0,25	-4,869
0,26	-5,306
0,27	-5,909
0,28	-6,420
0,29	-6,664
0,3	-6,668
0,31	-6,581
0,32	-6,489
0,33	-6,391
0,34	-6,289
0,35	-6,236
0,36	-6,294
0,37	-6,319
0,38	-6,132
0,39	-5,867
0,4	-5,660
0,41	-5,491
0,42	-5,354
0,43	-5,245
0,44	-5,142
0,45	-5,012
0,46	-4,843
0,47	-4,673
0,48	-4,495
0,49	-4,260
0,5	-3,996
0,51	-3,798
0,52	-3,723
0,53	-3,734
0,54	-3,775
0,55	-3,785
0,56	-3,671
0,57	-3,320
0,58	-2,683
0,59	-1,837
0,6	-0,941
0,61	-0,111
0,62	0,676
0,63	1,530
0,64	2,591
0,65	3,949
0,66	5,504
0,67	6,955
0,68	8,090
0,69	8,928
0,7	9,565
0,71	10,073
0,72	10,430
0,73	10,531
0,74	10,319
0,75	9,862
0,76	9,273
0,77	8,600
0,78	7,831
0,79	6,970
0,8	6,043
0,81	5,056
0,82	4,053
0,83	3,152
0,84	2,419
0,85	1,817
0,86	1,281
0,87	0,664
0,88	-0,100
0,89	-0,658
0,9	-0,769
0,91	-0,704
0,92	-0,669
0,93	-0,684
0,94	-0,773
0,95	-0,928
0,96	-1,085
0,97	-1,192
0,98	-1,259
0,99	-1,316
1,0	-1,376
1,01	-1,430
1,02	-1,464
1,03	-1,453
1,04	-1,364
1,05	-1,166
1,06	-0,871
1,07	-0,537
1,08	-0,238
1,09	-0,032
1,1	0,063
1,11	0,079
1,12	0,076
1,13	0,092
1,14	0,144
1,15	0,242
1,16	0,386
1,17	0,571
1,18	0,781
1,19	0,995
1,2	1,191
1,21	1,357
1,22	1,488
1,23	1,583
1,24	1,631
1,25	1,626
1,26	1,579
1,27	1,511
1,28	1,445
1,29	1,399
1,3	1,386
1,31	1,411
1,32	1,468
1,33	1,536
1,34	1,581
1,35	1,584
1,36	1,555
1,37	1,516
1,38	1,492
1,39	1,499
1,4	1,529
1,41	1,564
1,42	1,591
1,43	1,604
1,44	1,603
1,45	1,592
1,46	1,584
1,47	1,590
1,48	1,615
1,49	1,657
1,5	1,711
1,51	1,768
1,52	1,809
1,53	1,837
1,54	1,878
1,55	1,953
