Interval=	0,01 s
ExcelDateTime=	4,1975582744861116e+004	02.12.2014 13:59:09,156
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
0,0	2,456
0,01	2,425
0,02	2,397
0,03	2,377
0,04	2,370
0,05	2,374
0,06	2,381
0,07	2,382
0,08	2,374
0,09	2,351
0,1	2,314
0,11	2,265
0,12	2,206
0,13	2,144
0,14	2,095
0,15	2,067
0,16	2,062
0,17	2,071
0,18	2,079
0,19	2,075
0,2	2,056
0,21	2,023
0,22	1,979
0,23	1,928
0,24	1,871
0,25	1,809
0,26	1,747
0,27	1,681
0,28	1,608
0,29	1,533
0,3	1,467
0,31	1,423
0,32	1,408
0,33	1,409
0,34	1,406
0,35	1,389
0,36	1,369
0,37	1,363
0,38	1,376
0,39	1,399
0,4	1,417
0,41	1,419
0,42	1,403
0,43	1,370
0,44	1,321
0,45	1,268
0,46	1,242
0,47	1,271
0,48	1,355
0,49	1,470
0,5	1,586
0,51	1,684
0,52	1,759
0,53	1,809
0,54	1,833
0,55	1,838
0,56	1,843
0,57	1,873
0,58	1,958
0,59	2,114
0,6	2,315
0,61	2,518
0,62	2,691
0,63	2,822
0,64	2,917
0,65	2,990
0,66	3,064
0,67	3,164
0,68	3,315
0,69	3,518
0,7	3,748
0,71	3,962
0,72	4,124
0,73	4,229
0,74	4,305
0,75	4,391
0,76	4,513
0,77	4,669
0,78	4,828
0,79	4,955
0,8	5,046
0,81	5,125
0,82	5,213
0,83	5,308
0,84	5,389
0,85	5,458
0,86	5,539
0,87	5,653
0,88	5,786
0,89	5,901
0,9	5,981
0,91	6,038
0,92	6,097
0,93	6,173
0,94	6,259
0,95	6,344
0,96	6,418
0,97	6,478
0,98	6,527
0,99	6,565
1,0	6,597
1,01	6,641
1,02	6,708
1,03	6,800
1,04	6,918
1,05	7,052
1,06	7,168
1,07	7,242
1,08	7,288
1,09	7,332
1,1	7,384
1,11	7,441
1,12	7,507
1,13	7,578
1,14	7,638
1,15	7,690
1,16	7,744
1,17	7,798
1,18	7,836
1,19	7,853
1,2	7,866
1,21	7,898
1,22	7,952
1,23	8,012
1,24	8,072
1,25	8,131
1,26	8,185
1,27	8,227
1,28	8,257
1,29	8,280
1,3	8,296
1,31	8,298
1,32	8,277
1,33	8,231
1,34	8,166
1,35	8,109
1,36	8,091
1,37	8,092
1,38	8,045
1,39	7,931
1,4	7,809
1,41	7,719
1,42	7,656
1,43	7,588
1,44	7,491
1,45	7,365
1,46	7,224
1,47	7,081
1,48	6,945
1,49	6,821
1,5	6,706
1,51	6,593
1,52	6,486
1,53	6,391
1,54	6,309
1,55	6,236
1,56	6,162
1,57	6,081
1,58	5,998
1,59	5,918
1,6	5,829
1,61	5,729
1,62	5,632
1,63	5,551
1,64	5,478
1,65	5,391
1,66	5,288
1,67	5,178
1,68	5,070
1,69	4,973
1,7	4,885
1,71	4,799
1,72	4,709
1,73	4,617
1,74	4,525
1,75	4,431
1,76	4,333
1,77	4,228
1,78	4,117
1,79	4,007
1,8	3,901
1,81	3,805
1,82	3,714
1,83	3,615
1,84	3,499
1,85	3,376
1,86	3,271
1,87	3,195
1,88	3,116
1,89	3,009
1,9	2,884
1,91	2,769
1,92	2,677
1,93	2,597
1,94	2,511
1,95	2,412
1,96	2,306
1,97	2,203
1,98	2,109
1,99	2,022
2,0	1,938
2,01	1,857
2,02	1,778
2,03	1,695
2,04	1,607
2,05	1,513
2,06	1,418
2,07	1,327
2,08	1,239
2,09	1,156
2,1	1,078
2,11	1,010
2,12	0,953
2,13	0,902
2,14	0,849
2,15	0,789
2,16	0,725
2,17	0,665
2,18	0,616
2,19	0,581
2,2	0,558
2,21	0,536
2,22	0,511
2,23	0,480
2,24	0,449
2,25	0,431
2,26	0,436
2,27	0,463
2,28	0,494
2,29	0,509
2,3	0,504
2,31	0,498
2,32	0,500
2,33	0,507
2,34	0,509
2,35	0,507
2,36	0,511
2,37	0,531
2,38	0,566
2,39	0,606
2,4	0,645
2,41	0,680
2,42	0,709
2,43	0,733
2,44	0,756
2,45	0,789
2,46	0,836
2,47	0,887
2,48	0,930
2,49	0,954
2,5	0,957
2,51	0,946
2,52	0,934
2,53	0,934
2,54	0,947
2,55	0,964
2,56	0,976
2,57	0,978
2,58	0,963
2,59	0,931
2,6	0,885
2,61	0,836
2,62	0,791
2,63	0,755
2,64	0,728
2,65	0,706
2,66	0,686
2,67	0,659
2,68	0,624
2,69	0,584
2,7	0,549
2,71	0,528
2,72	0,519
2,73	0,519
2,74	0,517
2,75	0,515
2,76	0,514
2,77	0,520
2,78	0,524
2,79	0,514
2,8	0,488
2,81	0,456
2,82	0,434
2,83	0,426
2,84	0,421
2,85	0,409
2,86	0,387
2,87	0,359
2,88	0,334
2,89	0,323
2,9	0,334
2,91	0,368
2,92	0,419
2,93	0,482
2,94	0,558
2,95	0,648
2,96	0,750
2,97	0,859
2,98	0,970
2,99	1,081
3,0	1,190
3,01	1,307
3,02	1,444
3,03	1,605
3,04	1,779
3,05	1,947
3,06	2,093
3,07	2,224
3,08	2,356
3,09	2,506
3,1	2,676
3,11	2,850
3,12	3,004
3,13	3,122
3,14	3,208
3,15	3,286
3,16	3,376
3,17	3,481
3,18	3,585
3,19	3,676
3,2	3,752
3,21	3,829
3,22	3,921
3,23	4,031
3,24	4,151
3,25	4,274
3,26	4,390
3,27	4,484
3,28	4,550
3,29	4,597
3,3	4,639
3,31	4,686
3,32	4,734
3,33	4,765
3,34	4,781
3,35	4,813
3,36	4,886
3,37	4,983
3,38	5,061
3,39	5,108
3,4	5,136
3,41	5,156
3,42	5,166
3,43	5,181
3,44	5,215
3,45	5,257
3,46	5,280
3,47	5,282
3,48	5,284
3,49	5,299
3,5	5,333
3,51	5,390
3,52	5,468
3,53	5,540
3,54	5,583
3,55	5,598
3,56	5,606
3,57	5,628
3,58	5,660
3,59	5,675
3,6	5,661
3,61	5,641
3,62	5,653
3,63	5,707
3,64	5,772
3,65	5,816
3,66	5,829
3,67	5,821
3,68	5,813
3,69	5,814
3,7	5,827
3,71	5,849
3,72	5,884
3,73	5,934
3,74	5,989
3,75	6,032
3,76	6,061
3,77	6,085
3,78	6,110
3,79	6,142
3,8	6,184
3,81	6,228
3,82	6,252
3,83	6,246
3,84	6,232
3,85	6,236
3,86	6,239
3,87	6,216
3,88	6,177
3,89	6,149
3,9	6,141
3,91	6,152
3,92	6,176
3,93	6,198
3,94	6,206
3,95	6,195
3,96	6,154
3,97	6,068
3,98	5,938
3,99	5,782
4,0	5,611
4,01	5,421
4,02	5,216
4,03	5,003
4,04	4,786
4,05	4,566
4,06	4,353
4,07	4,159
4,08	3,996
4,09	3,879
4,1	3,828
4,11	3,826
4,12	3,809
4,13	3,722
4,14	3,585
4,15	3,444
4,16	3,319
4,17	3,205
4,18	3,099
4,19	3,004
4,2	2,924
4,21	2,858
4,22	2,806
4,23	2,761
4,24	2,712
4,25	2,648
4,26	2,566
4,27	2,474
4,28	2,382
4,29	2,299
4,3	2,218
4,31	2,130
4,32	2,036
4,33	1,951
4,34	1,888
4,35	1,834
4,36	1,760
4,37	1,664
4,38	1,572
4,39	1,496
4,4	1,429
4,41	1,347
4,42	1,246
4,43	1,135
4,44	1,036
4,45	0,962
4,46	0,912
4,47	0,872
4,48	0,830
4,49	0,785
4,5	0,740
4,51	0,695
4,52	0,644
4,53	0,584
4,54	0,518
4,55	0,454
4,56	0,393
4,57	0,329
4,58	0,263
4,59	0,194
4,6	0,129
4,61	0,066
4,62	0,004
4,63	-0,060
4,64	-0,123
4,65	-0,184
4,66	-0,244
4,67	-0,297
4,68	-0,342
4,69	-0,378
4,7	-0,408
4,71	-0,439
4,72	-0,472
4,73	-0,508
4,74	-0,544
4,75	-0,581
4,76	-0,609
4,77	-0,621
4,78	-0,619
4,79	-0,621
4,8	-0,644
4,81	-0,689
4,82	-0,738
4,83	-0,772
4,84	-0,788
4,85	-0,799
4,86	-0,814
4,87	-0,836
4,88	-0,862
4,89	-0,886
4,9	-0,904
4,91	-0,916
4,92	-0,922
4,93	-0,929
4,94	-0,940
4,95	-0,956
4,96	-0,974
4,97	-0,986
4,98	-0,987
4,99	-0,978
5,0	-0,963
5,01	-0,953
5,02	-0,950
5,03	-0,956
5,04	-0,970
5,05	-0,993
5,06	-1,023
5,07	-1,059
5,08	-1,098
5,09	-1,133
5,1	-1,160
5,11	-1,175
5,12	-1,179
5,13	-1,177
5,14	-1,173
5,15	-1,174
5,16	-1,184
5,17	-1,202
5,18	-1,219
5,19	-1,226
5,2	-1,215
5,21	-1,189
5,22	-1,160
5,23	-1,140
5,24	-1,133
5,25	-1,123
5,26	-1,084
5,27	-1,008
5,28	-0,912
5,29	-0,831
5,3	-0,773
5,31	-0,723
5,32	-0,657
5,33	-0,553
5,34	-0,409
5,35	-0,228
5,36	-0,024
5,37	0,184
5,38	0,371
5,39	0,524
5,4	0,659
5,41	0,801
5,42	0,963
5,43	1,120
5,44	1,225
5,45	1,254
5,46	1,241
5,47	1,264
5,48	1,374
5,49	1,551
5,5	1,731
5,51	1,862
5,52	1,925
5,53	1,929
5,54	1,896
5,55	1,850
5,56	1,811
5,57	1,783
5,58	1,754
5,59	1,702
5,6	1,623
5,61	1,553
5,62	1,554
5,63	1,658
5,64	1,818
5,65	1,954
5,66	2,022
5,67	2,022
5,68	1,971
5,69	1,879
5,7	1,774
5,71	1,719
5,72	1,786
5,73	1,983
5,74	2,241
5,75	2,493
5,76	2,704
5,77	2,848
5,78	2,914
5,79	2,946
5,8	2,998
5,81	3,095
5,82	3,228
5,83	3,383
5,84	3,554
5,85	3,726
5,86	3,882
5,87	4,006
5,88	4,088
5,89	4,136
5,9	4,190
5,91	4,282
5,92	4,404
5,93	4,531
5,94	4,651
5,95	4,767
5,96	4,877
5,97	4,962
5,98	5,004
5,99	5,011
6,0	5,011
6,01	5,027
6,02	5,064
6,03	5,107
6,04	5,159
6,05	5,232
6,06	5,319
6,07	5,399
6,08	5,455
6,09	5,492
6,1	5,542
6,11	5,624
6,12	5,721
6,13	5,785
6,14	5,787
6,15	5,739
6,16	5,689
6,17	5,689
6,18	5,744
6,19	5,798
6,2	5,798
6,21	5,742
6,22	5,673
6,23	5,635
6,24	5,636
6,25	5,641
6,26	5,609
6,27	5,539
6,28	5,466
6,29	5,409
6,3	5,329
6,31	5,179
6,32	4,975
6,33	4,755
6,34	4,521
6,35	4,260
6,36	3,986
6,37	3,722
6,38	3,478
6,39	3,266
6,4	3,104
6,41	2,992
6,42	2,919
6,43	2,873
6,44	2,829
6,45	2,759
6,46	2,652
6,47	2,516
6,48	2,361
6,49	2,199
6,5	2,049
6,51	1,920
6,52	1,806
6,53	1,686
6,54	1,549
6,55	1,396
6,56	1,234
6,57	1,089
6,58	0,984
6,59	0,924
6,6	0,884
6,61	0,829
6,62	0,748
6,63	0,644
6,64	0,527
6,65	0,398
6,66	0,259
6,67	0,113
6,68	-0,035
6,69	-0,175
6,7	-0,288
6,71	-0,363
6,72	-0,403
6,73	-0,426
6,74	-0,460
6,75	-0,514
6,76	-0,581
6,77	-0,644
6,78	-0,703
6,79	-0,777
6,8	-0,882
6,81	-1,004
6,82	-1,123
6,83	-1,224
6,84	-1,312
6,85	-1,398
6,86	-1,489
6,87	-1,585
6,88	-1,683
6,89	-1,775
6,9	-1,859
6,91	-1,933
6,92	-1,996
6,93	-2,048
6,94	-2,093
6,95	-2,139
6,96	-2,196
6,97	-2,263
6,98	-2,337
6,99	-2,412
7,0	-2,486
7,01	-2,561
7,02	-2,636
7,03	-2,709
7,04	-2,778
7,05	-2,844
7,06	-2,908
7,07	-2,972
7,08	-3,040
7,09	-3,117
7,1	-3,213
7,11	-3,341
7,12	-3,518
7,13	-3,773
7,14	-4,111
7,15	-4,506
7,16	-4,946
7,17	-5,431
7,18	-5,941
7,19	-6,434
7,2	-6,864
7,21	-7,188
7,22	-7,338
7,23	-7,301
7,24	-7,142
7,25	-6,954
7,26	-6,804
7,27	-6,720
7,28	-6,692
7,29	-6,691
7,3	-6,688
7,31	-6,674
7,32	-6,652
7,33	-6,628
7,34	-6,598
7,35	-6,556
7,36	-6,494
7,37	-6,411
7,38	-6,313
7,39	-6,207
7,4	-6,106
7,41	-6,025
7,42	-5,975
7,43	-5,957
7,44	-5,965
7,45	-5,986
7,46	-6,009
7,47	-6,024
7,48	-6,027
7,49	-6,014
7,5	-5,988
7,51	-5,958
7,52	-5,933
7,53	-5,918
7,54	-5,918
7,55	-5,932
7,56	-5,961
7,57	-6,003
7,58	-6,054
7,59	-6,106
7,6	-6,151
7,61	-6,187
7,62	-6,220
7,63	-6,261
7,64	-6,311
7,65	-6,349
7,66	-6,321
7,67	-6,143
7,68	-5,754
7,69	-5,194
7,7	-4,588
7,71	-4,078
7,72	-3,756
7,73	-3,616
7,74	-3,584
7,75	-3,582
7,76	-3,573
7,77	-3,561
7,78	-3,555
7,79	-3,544
7,8	-3,495
7,81	-3,372
7,82	-3,166
7,83	-2,899
7,84	-2,606
7,85	-2,316
7,86	-2,059
7,87	-1,861
7,88	-1,731
7,89	-1,646
7,9	-1,573
7,91	-1,494
7,92	-1,403
7,93	-1,285
7,94	-1,118
7,95	-0,911
7,96	-0,701
7,97	-0,519
7,98	-0,371
7,99	-0,224
8,0	-0,057
8,01	0,116
8,02	0,259
8,03	0,359
8,04	0,462
8,05	0,621
8,06	0,834
8,07	1,038
8,08	1,179
8,09	1,268
8,1	1,352
8,11	1,454
8,12	1,558
8,13	1,659
8,14	1,788
8,15	1,983
8,16	2,260
8,17	2,604
8,18	2,965
8,19	3,288
8,2	3,558
8,21	3,802
8,22	4,046
8,23	4,286
8,24	4,503
8,25	4,701
8,26	4,922
8,27	5,197
8,28	5,499
8,29	5,759
8,3	5,941
8,31	6,067
8,32	6,184
8,33	6,323
8,34	6,469
8,35	6,578
8,36	6,632
8,37	6,664
8,38	6,724
8,39	6,817
8,4	6,915
8,41	6,984
8,42	7,026
8,43	7,064
8,44	7,107
8,45	7,136
8,46	7,121
8,47	7,066
8,48	7,015
8,49	6,998
8,5	6,989
8,51	6,950
8,52	6,865
8,53	6,733
8,54	6,536
8,55	6,256
8,56	5,903
8,57	5,520
8,58	5,161
8,59	4,862
8,6	4,656
8,61	4,576
8,62	4,607
8,63	4,646
8,64	4,583
8,65	4,419
8,66	4,231
8,67	4,048
8,68	3,846
8,69	3,615
8,7	3,371
8,71	3,135
8,72	2,926
8,73	2,766
8,74	2,679
8,75	2,652
8,76	2,626
8,77	2,551
8,78	2,435
8,79	2,308
8,8	2,189
8,81	2,079
8,82	1,974
8,83	1,869
8,84	1,763
8,85	1,661
8,86	1,568
8,87	1,484
8,88	1,409
8,89	1,340
8,9	1,269
8,91	1,197
8,92	1,128
8,93	1,067
8,94	1,009
8,95	0,949
8,96	0,884
8,97	0,815
8,98	0,746
8,99	0,677
9,0	0,613
9,01	0,552
9,02	0,495
9,03	0,441
9,04	0,390
9,05	0,341
9,06	0,292
9,07	0,242
9,08	0,191
9,09	0,141
9,1	0,092
9,11	0,046
9,12	-0,001
9,13	-0,052
9,14	-0,102
9,15	-0,142
9,16	-0,176
9,17	-0,216
9,18	-0,269
9,19	-0,322
9,2	-0,359
9,21	-0,379
9,22	-0,398
9,23	-0,427
9,24	-0,471
9,25	-0,516
9,26	-0,549
9,27	-0,570
9,28	-0,586
9,29	-0,606
9,3	-0,634
9,31	-0,664
9,32	-0,694
9,33	-0,718
9,34	-0,729
9,35	-0,725
9,36	-0,705
9,37	-0,677
9,38	-0,653
9,39	-0,638
9,4	-0,628
9,41	-0,617
9,42	-0,603
9,43	-0,588
9,44	-0,577
9,45	-0,571
9,46	-0,568
9,47	-0,563
9,48	-0,551
9,49	-0,531
9,5	-0,502
9,51	-0,473
9,52	-0,450
9,53	-0,440
9,54	-0,442
9,55	-0,449
9,56	-0,453
9,57	-0,448
9,58	-0,432
9,59	-0,411
9,6	-0,390
9,61	-0,374
9,62	-0,366
9,63	-0,364
9,64	-0,360
9,65	-0,346
9,66	-0,334
9,67	-0,334
9,68	-0,328
9,69	-0,296
9,7	-0,235
9,71	-0,161
9,72	-0,102
9,73	-0,072
9,74	-0,069
9,75	-0,076
9,76	-0,078
9,77	-0,073
9,78	-0,066
9,79	-0,064
9,8	-0,074
9,81	-0,094
9,82	-0,115
9,83	-0,131
9,84	-0,139
9,85	-0,149
9,86	-0,166
9,87	-0,194
9,88	-0,236
9,89	-0,288
9,9	-0,343
9,91	-0,395
9,92	-0,437
9,93	-0,464
9,94	-0,477
9,95	-0,476
9,96	-0,471
9,97	-0,470
9,98	-0,476
9,99	-0,489
10,0	-0,507
10,01	-0,530
10,02	-0,560
10,03	-0,596
10,04	-0,624
10,05	-0,621
10,06	-0,576
10,07	-0,504
10,08	-0,438
10,09	-0,392
10,1	-0,362
10,11	-0,339
10,12	-0,316
10,13	-0,289
10,14	-0,263
10,15	-0,263
10,16	-0,314
10,17	-0,384
10,18	-0,389
10,19	-0,285
10,2	-0,096
10,21	0,124
10,22	0,318
10,23	0,457
10,24	0,547
10,25	0,614
10,26	0,683
10,27	0,782
10,28	0,933
10,29	1,142
10,3	1,391
10,31	1,642
10,32	1,861
10,33	2,043
10,34	2,206
10,35	2,368
10,36	2,525
10,37	2,661
10,38	2,767
10,39	2,850
10,4	2,934
10,41	3,043
10,42	3,171
10,43	3,292
10,44	3,382
10,45	3,446
10,46	3,501
10,47	3,553
10,48	3,601
10,49	3,646
10,5	3,705
10,51	3,788
10,52	3,894
10,53	4,005
10,54	4,102
10,55	4,172
10,56	4,217
10,57	4,248
10,58	4,282
10,59	4,333
10,6	4,409
10,61	4,503
10,62	4,596
10,63	4,674
10,64	4,731
10,65	4,765
10,66	4,782
10,67	4,813
10,68	4,869
10,69	4,929
10,7	4,976
10,71	5,021
10,72	5,072
10,73	5,121
10,74	5,166
10,75	5,210
10,76	5,256
10,77	5,309
10,78	5,366
10,79	5,419
10,8	5,463
10,81	5,498
10,82	5,529
10,83	5,563
10,84	5,594
10,85	5,621
10,86	5,648
10,87	5,671
10,88	5,683
10,89	5,695
10,9	5,710
10,91	5,711
10,92	5,695
10,93	5,671
10,94	5,650
10,95	5,639
10,96	5,637
10,97	5,629
10,98	5,600
10,99	5,553
11,0	5,510
11,01	5,475
11,02	5,434
11,03	5,379
11,04	5,304
11,05	5,198
11,06	5,054
11,07	4,874
11,08	4,675
11,09	4,468
11,1	4,247
11,11	4,005
11,12	3,739
11,13	3,437
11,14	3,099
11,15	2,757
11,16	2,464
11,17	2,239
11,18	2,043
11,19	1,821
11,2	1,562
11,21	1,306
11,22	1,095
11,23	0,978
11,24	0,988
11,25	1,079
11,26	1,138
11,27	1,079
11,28	0,935
11,29	0,789
11,3	0,681
11,31	0,596
11,32	0,517
11,33	0,439
11,34	0,369
11,35	0,311
11,36	0,258
11,37	0,206
11,38	0,159
11,39	0,114
11,4	0,067
11,41	0,014
11,42	-0,041
11,43	-0,092
11,44	-0,139
11,45	-0,190
11,46	-0,249
11,47	-0,309
11,48	-0,362
11,49	-0,407
11,5	-0,446
11,51	-0,484
11,52	-0,527
11,53	-0,576
11,54	-0,633
11,55	-0,693
11,56	-0,753
11,57	-0,814
11,58	-0,880
11,59	-0,953
11,6	-1,028
11,61	-1,101
11,62	-1,166
11,63	-1,227
11,64	-1,293
11,65	-1,367
11,66	-1,436
11,67	-1,487
11,68	-1,523
11,69	-1,561
11,7	-1,608
11,71	-1,658
11,72	-1,701
11,73	-1,737
11,74	-1,773
11,75	-1,813
11,76	-1,858
11,77	-1,902
11,78	-1,939
11,79	-1,966
11,8	-1,980
11,81	-1,979
11,82	-1,965
11,83	-1,943
11,84	-1,927
11,85	-1,928
11,86	-1,947
11,87	-1,979
11,88	-2,016
11,89	-2,053
11,9	-2,086
11,91	-2,115
11,92	-2,141
11,93	-2,162
11,94	-2,177
11,95	-2,183
11,96	-2,175
11,97	-2,153
11,98	-2,121
11,99	-2,085
12,0	-2,053
12,01	-2,027
12,02	-2,009
12,03	-1,999
12,04	-1,996
12,05	-1,998
12,06	-2,006
12,07	-2,014
12,08	-2,018
12,09	-2,013
12,1	-1,997
12,11	-1,966
12,12	-1,919
12,13	-1,864
12,14	-1,826
12,15	-1,814
12,16	-1,814
12,17	-1,809
12,18	-1,797
12,19	-1,790
12,2	-1,797
12,21	-1,818
12,22	-1,846
12,23	-1,874
12,24	-1,899
12,25	-1,923
12,26	-1,949
12,27	-1,976
12,28	-1,998
12,29	-2,015
12,3	-2,033
12,31	-2,060
12,32	-2,098
12,33	-2,132
12,34	-2,148
12,35	-2,141
12,36	-2,116
12,37	-2,084
12,38	-2,056
12,39	-2,037
12,4	-2,031
12,41	-2,038
12,42	-2,053
12,43	-2,071
12,44	-2,091
12,45	-2,109
12,46	-2,121
12,47	-2,121
12,48	-2,104
12,49	-2,071
12,5	-2,026
12,51	-1,976
12,52	-1,929
12,53	-1,889
12,54	-1,861
12,55	-1,851
12,56	-1,858
12,57	-1,857
12,58	-1,811
12,59	-1,688
12,6	-1,491
12,61	-1,244
12,62	-0,966
12,63	-0,681
12,64	-0,417
12,65	-0,181
12,66	0,074
12,67	0,419
12,68	0,880
12,69	1,403
12,7	1,885
12,71	2,246
12,72	2,495
12,73	2,701
12,74	2,909
12,75	3,103
12,76	3,244
12,77	3,319
12,78	3,348
12,79	3,365
12,8	3,387
12,81	3,431
12,82	3,524
12,83	3,669
12,84	3,836
12,85	3,974
12,86	4,044
12,87	4,049
12,88	4,024
12,89	4,006
12,9	4,018
12,91	4,059
12,92	4,114
12,93	4,157
12,94	4,174
12,95	4,188
12,96	4,240
12,97	4,344
12,98	4,464
12,99	4,557
13,0	4,606
13,01	4,637
13,02	4,673
13,03	4,724
13,04	4,794
13,05	4,871
13,06	4,935
13,07	4,976
13,08	5,001
13,09	5,012
13,1	5,021
13,11	5,059
13,12	5,144
13,13	5,250
13,14	5,316
13,15	5,310
13,16	5,269
13,17	5,271
13,18	5,332
13,19	5,387
13,2	5,393
13,21	5,373
13,22	5,372
13,23	5,398
13,24	5,425
13,25	5,433
13,26	5,431
13,27	5,447
13,28	5,496
